Total Length of URL, Length of Base URL, Number of Sub-Folders, Top-Level Domain, Is Redirecting URL
36, 21, 2, .pl, False
64, 25, 5, .com, False
35, 18, 2, .tk, False
69, 18, 4, .tk, False
10, 6, 1, .im, False
69, 18, 4, .tk, False
64, 25, 5, .com, False
63, 24, 5, .com, False
35, 19, 3, .com, False
50, 18, 4, .com, False
53, 16, 5, .com, False
62, 23, 5, .com, False
42, 12, 4, .com, False
654, 20, 6, .com, False
10, 6, 1, .lv, False
10, 4, 1, .co, True: x.co
94, 27, 6, .services, False
95, 27, 7, .services, False
90, 27, 6, .services, False
35, 27, 2, .services, False
15, 14, 1, .site, False
15, 14, 1, .com, False
64, 17, 4, .biz, False
62, 13, 2, .com, False
53, 17, 5, .com, False
59, 22, 1, .za, False
60, 22, 2, .za, False
69, 22, 2, .za, False
69, 22, 2, .za, False
54, 31, 1, .com, False
68, 22, 2, .za, False
73, 22, 2, .za, False
69, 22, 2, .za, False
10, 4, 1, .co, True: x.co
93, 18, 2, .co, False
58, 13, 2, .cc, False
27, 22, 1, .com, False
66, 15, 5, .id, False
71, 8, 6, .org, False
72, 8, 7, .org, False
56, 55, 1, .info, False
97, 18, 9, .com, False
59, 14, 6, .com, False
97, 18, 9, .com, False
97, 18, 9, .com, False
61, 23, 9, .com, False
58, 25, 1, .com, False
129, 18, 10, .com, False
129, 18, 10, .com, False
61, 16, 6, .com, False
64, 34, 1, .com, False
39, 16, 3, .com, False
54, 27, 2, .top, False
38, 21, 2, .space, False
315, 11, 3, .com, False
51, 11, 1, .work, False
52, 11, 2, .work, False
61, 11, 2, .work, False
61, 11, 2, .work, False
60, 11, 2, .work, False
38, 23, 1, .com, False
10, 4, 1, .co, True: x.co
36, 12, 4, .org, False
37, 12, 5, .org, False
36, 21, 2, .ng, False
37, 12, 4, .org, False
38, 12, 5, .org, False
145, 8, 7, .org, False
146, 8, 8, .org, False
145, 8, 7, .org, False
146, 8, 8, .org, False
144, 8, 8, .org, False
144, 8, 8, .org, False
144, 8, 8, .org, False
144, 8, 8, .org, False
10, 6, 1, .lv, False
67, 17, 2, .com, False
34, 24, 1, .com, False
31, 13, 2, .nl, False
34, 18, 1, .info, False
56, 27, 4, .uk, False
57, 27, 5, .uk, False
37, 27, 2, .uk, False
87, 27, 5, .uk, False
5, 5, 0, .http:, False
29, 28, 1, .review, False
24, 11, 3, .net, False
10, 6, 1, .lv, False
26, 13, 1, .com, False
10, 4, 1, .co, True: x.co
33, 22, 1, .com, False
21, 15, 2, .com, False
21, 20, 1, .com, False
10, 6, 1, .lv, False
10, 4, 1, .co, True: x.co
34, 21, 2, .com, False
26, 25, 1, .com, False
38, 13, 2, .ga, False
32, 13, 2, .ga, False
45, 31, 2, .eu, False
37, 13, 2, .ga, False
30, 13, 3, .ga, False
56, 18, 4, .com, False
73, 27, 5, .net, False
34, 33, 1, .info, False
11, 10, 1, .com, False
101, 22, 9, .com, False
101, 22, 9, .com, False
58, 25, 1, .com, False
309, 11, 3, .com, False
11, 10, 1, .com, False
38, 27, 3, .uk, False
10, 4, 1, .co, True: x.co
150, 12, 7, .ch, False
35, 10, 3, .ga, False
72, 37, 3, .com, False
140, 37, 1, .com, False
44, 16, 3, .gq, False
23, 16, 1, .gq, False
26, 25, 1, .ml, False
48, 25, 1, .ml, False
47, 37, 1, .net, False
45, 31, 2, .eu, False
43, 35, 1, .net, False
44, 32, 1, .com, False
36, 22, 3, .com, False
144, 14, 3, .com, False
114, 10, 1, .11, False
39, 10, 4, .es, False
58, 10, 6, .es, False
95, 10, 1, .11, False
74, 22, 5, .com, False
26, 11, 3, .com, False
88, 20, 7, .com, False
27, 20, 1, .com, False
83, 20, 6, .com, False
41, 22, 4, .com, False
23, 23, 0, .com, False
60, 23, 4, .net, False
15, 12, 1, .com, False
49, 17, 2, .com, False
8, 7, 1, .us, False
125, 45, 1, .com, False
85, 11, 7, .com, False
77, 13, 5, .com, False
25, 12, 1, .xyz, False
73, 21, 2, .com, False
41, 20, 3, .com, False
93, 17, 7, .com, False
94, 17, 8, .com, False
69, 18, 4, .tk, False
94, 17, 8, .com, False
28, 11, 3, .id, False
28, 11, 3, .id, False
43, 20, 3, .com, False
88, 28, 7, .cn, False
42, 20, 3, .com, False
46, 28, 1, .cn, False
57, 34, 2, .com, False
59, 25, 5, .com, False
50, 14, 3, .cf, False
45, 21, 3, .com, False
32, 11, 4, .co, False
28, 7, 4, .co, False
46, 16, 4, .com, False
106, 19, 8, .uk, False
107, 19, 9, .uk, False
46, 18, 3, .uk, False
204, 18, 3, .uk, False
33, 10, 4, .ga, False
126, 19, 5, .org, False
158, 19, 5, .org, False
162, 23, 5, .org, False
41, 10, 4, .ga, False
137, 19, 3, .org, False
158, 23, 5, .org, False
43, 16, 3, .pt, False
54, 31, 1, .com, False
28, 27, 1, .br, False
28, 27, 1, .br, False
15, 14, 1, .com, False
22, 16, 1, .com, False
45, 11, 5, .ng, False
40, 20, 3, .com, False
40, 20, 3, .com, False
17, 9, 1, .ru, False
88, 73, 2, .club, False
22, 12, 1, .com, False
55, 28, 2, .top, False
63, 40, 2, .com, False
55, 28, 2, .top, False
200, 44, 3, .net, False
38, 10, 2, .tk, False
58, 23, 7, .com, False
27, 16, 3, .net, False
33, 16, 2, .com, False
32, 12, 3, .us, False
46, 18, 3, .com, False
68, 10, 6, .com, False
35, 16, 3, .net, False
55, 16, 5, .com, False
25, 20, 1, .com, False
83, 23, 4, .com, False
83, 23, 4, .com, False
44, 16, 4, .gq, False
44, 16, 4, .gq, False
56, 22, 4, .ec, False
64, 22, 4, .ec, False
64, 22, 4, .ec, False
25, 10, 3, .gq, False
26, 10, 4, .gq, False
36, 10, 4, .gq, False
102, 24, 8, .au, False
72, 17, 9, .au, False
123, 24, 4, .com, False
55, 28, 2, .top, False
201, 53, 4, .com, False
31, 31, 0, .com, False
26, 12, 4, .org, False
35, 12, 3, .org, False
36, 12, 4, .org, False
102, 24, 8, .au, False
52, 13, 3, .am, False
97, 26, 8, .com, False
61, 60, 1, .business, False
47, 46, 1, .support, False
64, 24, 7, .au, False
39, 20, 3, .com, False
23, 13, 1, .me, False
38, 21, 1, .net, False
17, 11, 1, .com, False
27, 17, 1, .com, False
53, 17, 2, .au, False
155, 17, 2, .au, False
12, 11, 1, .com, False
26, 12, 1, .com, False
21, 11, 1, .com, False
21, 11, 1, .com, False
36, 14, 3, .com, False
34, 24, 1, .com, False
27, 13, 1, .com, False
18, 12, 1, .com, False
31, 16, 1, .com, False
28, 28, 0, .com, False
15, 15, 0, .ru, False
19, 19, 0, .tech, False
113, 17, 1, .net, False
64, 24, 7, .au, False
120, 16, 4, .com, False
54, 22, 6, .com, False
74, 18, 4, .in, False
75, 18, 4, .in, False
58, 14, 5, .gr, False
94, 17, 8, .com, False
40, 12, 4, .org, False
31, 23, 2, .com, False
15, 11, 2, .com, False
60, 13, 6, .44, False
274, 13, 6, .44, False
34, 12, 3, .net, False
24, 18, 2, .net, False
15, 11, 2, .com, False
29, 23, 2, .com, False
27, 13, 3, .org, False
45, 10, 6, .com, False
46, 10, 6, .com, False
24, 10, 2, .ga, False
34, 14, 2, .tk, False
29, 23, 2, .com, False
43, 14, 4, .com, False
49, 13, 4, .uk, False
67, 13, 4, .ml, False
66, 13, 4, .ml, False
67, 13, 4, .ml, False
30, 23, 2, .com, False
117, 14, 3, .gr, False
62, 14, 3, .gr, False
94, 17, 8, .com, False
229, 17, 8, .com, False
94, 17, 8, .com, False
229, 17, 8, .com, False
93, 17, 7, .com, False
94, 17, 8, .com, False
94, 17, 8, .com, False
59, 32, 2, .ooo, False
32, 31, 1, .com, False
43, 42, 1, .com, False
49, 21, 2, .info:443, False
37, 16, 3, .com, False
27, 12, 2, .18, False
47, 29, 2, .org, False
38, 12, 4, .info, False
88, 19, 8, .at, False
28, 8, 3, .in, False
88, 19, 8, .at, False
91, 19, 8, .at, False
91, 19, 8, .at, False
81, 10, 7, .in, False
89, 10, 7, .in, False
90, 10, 7, .in, False
22, 12, 2, .com, False
30, 16, 2, .ca, False
23, 22, 1, .space, False
53, 23, 4, .com, False
99, 23, 5, .com, False
76, 21, 6, .com, False
76, 21, 6, .com, False
74, 18, 7, .xyz, False
14, 13, 1, .eu, False
108, 12, 6, .ch, False
141, 12, 7, .ch, False
141, 12, 7, .ch, False
52, 28, 3, .com, False
21, 21, 0, .com, False
14, 14, 0, .ga, False
23, 22, 1, .space, False
107, 22, 3, .space, False
34, 33, 1, .com, False
13, 13, 0, .pro, False
14, 13, 1, .pro, False
49, 22, 3, .au, False
38, 22, 2, .com, False
41, 14, 3, .uk, False
37, 10, 3, .mx, False
35, 19, 2, .com, False
41, 14, 3, .mx, False
45, 18, 3, .com, False
21, 11, 2, .co, False
13, 12, 1, .org, False
20, 19, 1, .com, False
19, 19, 0, .com, False
55, 15, 5, .at, False
93, 19, 7, .at, False
37, 13, 3, .com, False
54, 15, 5, .us, False
24, 23, 1, .com, False
30, 13, 2, .ml, False
35, 12, 2, .ga, False
60, 14, 4, .tk, False
71, 14, 4, .gq, False
46, 31, 2, .eu, False
23, 23, 0, .com, False
34, 14, 2, .ga, False
28, 12, 2, .ga, False
53, 12, 4, .cf, False
30, 13, 2, .com, False
41, 13, 4, .cf, False
27, 27, 0, .th, False
20, 20, 0, .jp, False
33, 21, 2, .com, False
29, 17, 2, .es, False
30, 19, 1, .es, False
36, 9, 3, .mx, False
38, 26, 2, .es, False
44, 17, 3, .mx, False
27, 11, 2, .com, False
38, 26, 2, .com, False
38, 26, 2, .com, False
38, 26, 2, .com, False
34, 22, 2, .com, False
19, 10, 2, .tk, False
35, 10, 3, .tk, False
18, 8, 1, .ch, False
64, 8, 4, .ch, False
27, 26, 1, .com, False
59, 19, 5, .at, False
38, 13, 4, .com, False
69, 22, 2, .za, False
154, 9, 3, .tk, False
124, 15, 3, .ng, False
57, 25, 6, .com, False
19, 7, 2, .gr, False
42, 16, 3, .org, False
37, 11, 3, .com, False
27, 11, 2, .xyz, False
28, 11, 3, .xyz, False
91, 17, 7, .be, False
163, 9, 9, .lt, False
51, 14, 2, .uk, False
47, 10, 2, .mx, False
19, 14, 1, .com, False
20, 14, 2, .com, False
70, 13, 5, .ca, False
132, 13, 5, .ca, False
47, 33, 3, .com, False
15, 14, 1, .com, False
26, 14, 2, .com, False
61, 47, 3, .com, False
70, 19, 3, .com, False
35, 14, 2, .com, False
26, 13, 1, .id, False
28, 11, 2, .com, False
34, 19, 2, .com, False
19, 8, 2, .ch, False
64, 8, 4, .ch, False
42, 14, 4, .152, False
41, 14, 4, .152, False
56, 27, 4, .com, False
45, 11, 4, .tk, False
45, 13, 5, .info, False
40, 13, 5, .info, False
48, 13, 5, .info, False
26, 25, 1, .com, False
38, 37, 1, .com, False
150, 12, 7, .ch, False
55, 18, 2, .pl, False
56, 18, 3, .pl, False
26, 15, 1, .com, False
15, 15, 0, .pro, False
45, 12, 4, .it, False
178, 16, 9, .kr, True: x.co
22, 21, 1, .com, False
38, 38, 0, .ae, False
10, 9, 1, .nl, False
15, 15, 0, .com, False
24, 11, 2, .co, False
23, 11, 2, .co, False
21, 11, 2, .co, False
24, 11, 2, .co, False
22, 11, 2, .co, False
23, 11, 2, .co, False
47, 13, 1, .ng, False
43, 42, 1, .com, False
36, 15, 3, .farm, False
17, 14, 2, .za, False
57, 34, 4, .br, False
33, 32, 1, .com, False
33, 32, 1, .com, False
19, 18, 1, .com, False
45, 32, 3, .com, False
38, 12, 3, .kr, False
38, 13, 5, .com, True: x.co
34, 17, 3, .com, False
21, 17, 1, .com, False
33, 32, 1, .online, False
22, 17, 2, .com, False
20, 14, 2, .com, False
25, 14, 1, .cl, False
17, 16, 1, .cn, False
15, 14, 1, .ru, False
174, 19, 2, .gq, False
45, 13, 3, .com, False
144, 9, 3, .tk, False
86, 20, 6, .com, False
133, 20, 6, .com, False
143, 20, 6, .com, False
138, 20, 6, .com, False
132, 20, 6, .com, False
54, 15, 3, .am, False
143, 9, 2, .tk, False
144, 9, 3, .tk, False
154, 9, 3, .tk, False
144, 9, 3, .tk, False
154, 9, 3, .tk, False
133, 24, 6, .com, False
64, 12, 3, .com, False
145, 12, 5, .com, False
77, 13, 5, .kr, False
66, 23, 4, .id, False
67, 23, 5, .id, False
66, 23, 4, .id, False
67, 23, 5, .id, False
66, 23, 4, .id, False
67, 23, 5, .id, False
163, 20, 4, .br, False
28, 27, 1, .com, False
17, 17, 0, .com, False
62, 32, 2, .com, False
48, 19, 3, .com, False
26, 25, 1, .com, False
22, 21, 1, .com, False
45, 11, 3, .net, False
8, 7, 1, .me, False
66, 25, 3, .info, False
12, 11, 1, .ga, False
12, 11, 1, .ml, False
40, 23, 2, .info, False
42, 41, 1, .us, False
37, 10, 3, .cl, False
34, 18, 2, .com, False
52, 41, 1, .us, False
365, 37, 1, .com, False
88, 21, 2, .com, False
35, 34, 1, .nl, False
17, 14, 1, .nl, False
15, 12, 1, .nl, False
13, 7, 1, .su, False
12, 8, 2, .nl, False
26, 22, 2, .nl, False
69, 34, 3, .info, False
22, 18, 2, .nl, False
31, 15, 2, .com, False
153, 12, 5, .com, False
76, 13, 4, .kr, False
51, 22, 5, .au, False
269, 32, 5, .com, False
17, 10, 2, .site, False
178, 16, 4, .eu, False
14, 6, 1, .ly, True: bit.ly
31, 22, 1, .com, False
42, 16, 2, .eu, False
51, 40, 2, .uk, False
43, 26, 3, .mx, False
47, 34, 2, .nl, False
45, 34, 2, .nl, False
47, 34, 2, .nl, False
44, 34, 2, .nl, False
